,bearish,bullish,date,title,enddate,yqdopen,yqdclose
128,"['HCN', 'URI']","['GKOS', 'CVX', 'WEN', 'AEP']",20161122,Chevron Is A Buy - Cramer's Lightning Round (11/21/16),20170522,"['32.720001', '107.388840', '12.457808', '57.638012']","['37.119999', '105.064377', '15.934580', '68.846275']"
129,"['HW', 'HD', 'ES', 'WNR', 'HZNP']","['HHC', 'ABT', 'DY']",20161121,Abbott Laboratories Is A Long-Term Buy - Cramer's Lightning Round (11/18/16),20170521,"['108.629997', '38.858475', '92.949997']","['129.699997', '42.713528', '106.580002']"
130,"['WFT', 'SLB']","['MUR', 'AMAT', 'STM']",20161118,Applied Materials Is A Buy - Cramer's Lightning Round (11/17/16),20170518,"['29.891588', '30.416142', '9.264503']","['25.662104', '43.710674', '16.064850']"
131,"['HIMX', 'AVGO', 'HSKA', 'IDXX', 'NOK', 'QIWI', 'V', 'WU']","['ULTA', 'MS', 'BAC', 'CHD', 'NWL']",20161117,Buy Ulta Salon At $240 - Cramer's Lightning Round (11/16/16),20170517,"['251.130005', '39.399303', '19.778522', '43.922062', '46.754044']","['292.089996', '40.753044', '22.381630', '49.519501', '51.696819']"
132,"['SPKE', 'CVX', 'NLY']","['TEP', 'BWLD', 'ZOES']",20161116,Buy Buffalo Wild Wings - Cramer's Lightning Round (11/15/16),20170516,"['44.174416', '164.100006', '22.840000']","['49.202408', '157.699997', '17.799999']"
133,['AMSG'],"['AMT', 'ARW', 'KR', 'DNKN', 'EPD', 'TECD']",20161115,Be Wary Of Healthcare Stocks - Cramer's Lightning Round (11/14/16),20170515,"['101.403008', '65.690002', '34.412823', '49.086861', '24.485527', '80.690002']","['126.679039', '75.680000', '28.985460', '55.906395', '26.697458', '95.510002']"
134,"['CC', 'AYI', 'ISRG', 'FEYE']","['SYF', 'ARIA', 'SUPN', 'GE']",20161114,Book Profits On Chemours - Cramer's Lightning Round (11/11/16),20170514,"['33.279518', '23.900000', '29.496449']","['26.457315', '33.250000', '27.756184']"
135,"['WTW', 'TSLA', 'F', 'BP', 'RRC', 'EPD', 'ETP', 'CWEI', 'ETN', 'TGT', 'AMZN', 'NVS', 'MRK']",['TMUS'],20161111,Buy T-Mobile Stock - Cramer's Lightning Round (11/10/16),20170511,['52.540001'],['65.809998']
136,"['EXR', 'HCP']",['BRK.B'],20161110,Buy Berkshire Hathaway - Cramer's Lightning Round (11/9/16),20170510,[],[]
137,"['KITE', 'AMBA', 'AVGO', 'USFD', 'SYY', 'RDC', 'HAL', 'SLB']","['CY', 'OLLI', 'SIX', 'WMT', 'FDX', 'GILD']",20161109,Ollie's Bargain Outlet Is The Best Retailer - Cramer's Lightning Round (11/8/16),20170509,"['9.919066', '28.100000', '54.392811', '69.178459', '179.577484', '76.278137']","['13.217719', '39.450001', '61.304848', '75.733635', '189.892349', '66.653580']"
138,"['FSLR', 'CFMS']",['HDP'],20161108,First Solar Made A Bad Call - Cramer's Lightning Round (11/7/16),20170508,['8.350000'],['11.050000']
139,"['MRO', 'EOG']","['WDC', 'TECD']",20161107,Western Digital Stock Is Cheap - Cramer's Lightning Round (11/4/16),20170507,"['56.274979', '77.769997']","['89.717674', '96.019997']"
140,"['ZTO', 'SCHW', 'KRA', 'GIMO']","['VOD', 'AIG', 'ALL', 'UVE', 'EW', 'HRL']",20161104,Buy Edwards Lifesciences For The Long Term - Cramer's Lightning Round (11/3/16),20170504,"['25.593351', '56.223450', '65.558739', '19.126911', '89.629997', '35.885464']","['25.752979', '62.029003', '84.855537', '24.817865', '110.449997', '34.568901']"
141,"['JCP', 'GWPH', 'CEMP', 'OTEX', 'NSU']",[],20161103,Time To Consider J.C. Penney? - Cramer's Lightning Round (11/02/16),20170503,[],[]
142,"['HDS', 'REGN', 'BABA']","['TSEM', 'WM', 'CR']",20161102,HD Supply In The Penalty Box - Cramer's Lightning Round (11/01/16),20170502,"['15.440000', '62.186192', '65.901878']","['21.260000', '72.033798', '78.635910']"
143,"['AMGN', 'HRB', 'SPWR', 'GNC', 'CLVS', 'MRK', 'RAI', 'TWLO']","['RPM', 'NTNX', 'CELG', 'HPQ', 'ATVI']",20161101,Don't Buy Amgen Until After The Election - Cramer's Lightning Round (10/31/16),20170501,"['46.060699', '24.160000', '104.089996', '13.917997', '42.340767']","['51.746948', '14.460000', '124.059998', '18.659216', '52.700001']"
144,"['NAT', 'CRBP', 'DBD']","['BX', 'JNPR', 'BSX', 'ANIK', 'GILD']",20161031,Smith & Wesson Is A Value Stock - Cramer's Lightning Round (10/28/16),20170430,"['23.194279', '25.964012', '22.000000', '44.360001', '71.573326']","['30.357147', '29.858191', '26.379999', '46.130001', '67.580284']"
145,"['ZOES', 'PI', 'FEYE', 'PFPT', 'SHOP', 'ON', 'NVDA', 'PAY']",[],20161028,Give Zoe's Kitchen A Year - Cramer's Lightning Round (10/27/16),20170428,[],[]
146,"['DLTR', 'TJX', 'ADS', 'FRO']","['PFE', 'KBH', 'OI']",20161027,Patience With KB Home - Cramer's Lightning Round (10/26/16),20170427,"['31.224739', '14.131478', '19.459999']","['33.210995', '21.081373', '21.889999']"
147,"['BMY', 'KKR', 'RIG', 'HAL', 'INSY', 'SRPT']","['STZ', 'YUM', 'MNST', 'SMG']",20161026,Yum Brands' Split Will Unlock Value - Cramer's Lightning Round (10/25/16),20170426,"['164.724625', '60.812752', '48.700001', '86.674255']","['169.527328', '65.612808', '45.110001', '95.876358']"
148,"['TDOC', 'ETE', 'MMP', 'EPD', 'HFC', 'ETP', 'SSYS', 'HPQ']","['MGM', 'AA', 'IDXX', 'DIS']",20161025,Disney Is A Long-Term Buy - Cramer's Lightning Round (10/24/16),20170425,"['25.796869', '21.166847', '110.980003', '91.361015']","['29.155970', '36.490002', '162.429993', '114.329483']"
149,"['EXC', 'ISRG', 'CG', 'STNG', 'NAT', 'JBLU', 'LUV', 'UAL', 'ASNA', 'OPHT', 'ARIA']",[],20161021,'Exelon Is For Me' - Cramer's Lightning Round (10/20/16),20170421,[],[]
